FID_,YEAR_,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,ALARM_DATE,CONT_DATE,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,Shape_Leng,Shape_Area
,2007,CA,KRN,00717959,MOUNTAIN,CCO,20070719,20070719,1,14,00717959,1, ,840.559999999999950,840.5579834,10229.115226000000000,3401618.780790000200000
,2007,CA,KRN,0713610,WOFFORD,USF,20070509,20070513,2,9,00000000,1, ,567.000000000000000,567.4569702,7154.998349589999600,2296415.401180000000000
,2007,CA,FKU,00009400,AUBERRY,CDF,20070828,20070903,2,10,00009400,1, ,150.000000000000000,150.9360046,3302.735286550000200,610816.557678999960000
,2007,CA,FKU,00009688,GATOS,CDF,20070902,20070905,2,1,00009688,1, ,100.000000000000000,83.0522003,2298.988365960000000,336100.326570999980000
,2007,CA,MMU,00000000,HIGHWAY 41/ RD 209 3,CDF,20070520,0,6,14,00005998,1, ,0.000000000000000,329.0809937,5371.204505179999600,1331743.231309999900000
,2007,CA,KNP,00000113,BALDY RIDGE,NPS,20071101,20071201,1,1,00000000,2, ,20.000000000000000,19.6924992,2177.991104050000100,79692.520179600004000
,2007,CA,KNP,00000035,WILLOW,NPS,20070719,20071106,2,1,00000000,2, ,185.000000000000000,184.8260040,5195.094652689999700,747965.067054999990000
,2007,CA,BBD,00001504,BROWN,BLM,20070720,20070623,1,9,00001504,1, ,84.700000000000003,1430.3199463,16089.605092300000000,5788288.833119999600000
,2007,CA,BBD,00001379,BODFISH,BLM,20070610,20070611,2,14,00001379,1, ,213.000000000000000,213.1159973,4154.091671060000400,862450.672238999980000
,2007,CA,BBD,00002767,SAN BENITO,BLM,20070818,20070819,8,14,00002767,1, ,15.000000000000000,16.0366001,1531.186703560000100,64897.926176300003000
,2007,CA,FKU,00002844,PANOCHE,CDF,20070322,20070323,1,11,002844,1, ,300.000000000000000,73.7870026,2596.855935619999900,298605.601419000010000
,2007,CA,FKU,00008730,TAR,CDF,20070810,20070819,2,14,00008730,1, ,5670.000000000000000,5671.0297852,24980.060431599999000,22949836.578899998000000
,2007,CA,STF,00000090,BOURLAND,USF,20071030,20070000,6,1, ,2,20090305,28.000000000000000,29.3581009,1848.910202150000000,118807.885899000000000
,2007,CA,SNF,00000004,MONO,USF,20070405,20070525,2,1,00000004,1, ,98.000000000000000,98.0835037,5165.600886379999800,396929.695897000030000
,2007,CA,SQF,00000066,RICHBAR,USF,20071023,20071023,6,9,00000066,1, ,13.000000000000000,13.4326000,926.192227101999950,54359.782112100002000
,2007,CA,SQF,00000036,RIVER,USF,20070801,20070801,6,2,00000036,1, ,150.000000000000000,149.8869934,3220.092816679999900,606570.077568999960000
,2007,CA,SNF,00000037,DEVIL,USF,20070809,20070810,7,4,00000037,1, ,12.000000000000000,12.1688995,1669.060351189999900,49245.958996300003000
,2007,CA,SQF,00000011,GOLDLEDGE,USF,20070603,20070616,2,9,00000011,1, ,4200.000000000000000,4196.0200195,23759.639595199998000,16980678.533399999000000
,2007,CA,SQF,00000042,GROUSE,USF,20070827,20071218,6,1,00000042,1, ,1022.000000000000000,1004.1099854,10368.897160000000000,4063506.090900000200000
,2007,CA,SQF,00000004,JAMES,USF,20070429,20070802,1,9,00000004,1, ,1350.000000000000000,1348.9300537,16205.215241399999000,5458935.743619999800000
,2007,CA,BBD,00002293,BAILEY,BLM,0,20070722,1,14,00002293,1, ,53.299999999999997,53.4463005,3804.548254960000100,216289.547614999990000
,2007,CA,BBD,00002844,LITTLE,BLM,20070322,0,0,9,00002844,1, ,0.000000000000000,66.9022980,2674.090279309999900,270744.031178999980000
,2007,CA,BBD,00007016,YOKHOL,BLM,20070715,0,0,14,00007016,1,Data was provided without projection file assumed nad 83.,0.000000000000000,77.2032013,2826.201559400000000,312430.376777999980000
,2007,CA,BBD,00001568,CANYON,BLM,20070723,20070624,1,9,00001568,1, ,84.700000000000003,84.7237015,2693.526123830000000,342864.847165999990000
,2007,CA,FKU,00009029,POWER HOUSE,CDF,20070818,20070819,2,10,00009029,1, ,45.000000000000000,45.7994995,1740.000896730000000,185344.121519999990000
,2007,CA,YNP,00002367,GRANT,NPS,20070710,20070920,1,1,00000000,2, ,13.350000000000000,13.3514004,1831.716649160000100,54031.295485900002000
,2007,CA,YNP,00002397,BABCOCK,NPS,20070711,20070920,1,1,00000000,2, ,263.500000000000000,263.4330139,5100.384581190000100,1066076.133080000100000
,2007,CA,YNP,00003762,BALD WFU,NPS,20070830,20070905,1,1,00000000,2,This fire was converted from a WFU on 9/5,331.800000000000010,331.6250000,4470.819127490000000,1342037.468760000100000
,2007,CA,YNP,00003927,BALD WF,NPS,20070905,20070915,1,1,00000000,1,This fire was converted to a WF on 9/5,78.599999999999994,78.5916977,2993.739759810000100,318049.504125999990000
,2007,CA,YNP,00004777,JACK WFU,NPS,20071029,20071107,1,1,00000000,2,This fire was converted from a WFU on 11/8,23.649999999999999,23.6336994,1710.291534340000000,95642.192800799996000
,2007,CA,YNP,00004801,DEVIL,NPS,20071029,20071208,2,1,00000000,2, ,239.400000000000010,239.2610016,3986.218531500000200,968254.007754000020000
,2007,CA,YNP,00004850,JACK WF,NPS,20071108,20071208,2,1,00000000,1,This fire was converted to a WF on 11/8,1106.000000000000000,1106.2500000,12308.820383300001000,4476824.828200000300000
,2007,CA,SCU,00000000,LICK,CDF,20070903,20070915,2,5,00005214,1, ,47760.000000000000000,47748.3007813,89863.377830700003000,193230406.132000000000000
,2007,CA,TCU,00000331,MURRAY,CDF,20070525,20070526,1,5,00004493,1, ,110.000000000000000,102.8669968,3247.670675710000100,416288.864681000010000
,2007,CA,TCU,00000371,DUNTON,CDF,20070604,20070604,1,2,00004883,1, ,208.000000000000000,208.2369995,4783.633787120000300,842703.767632000030000
,2007,CA,TCU,00000470,SHELL,CDF,20070702,20070703,1,14,00005881,1, ,100.000000000000000,101.4229965,3448.262719310000200,410442.500739999990000
,2007,CA,TCU,00000550,GASSNER,CDF,20070721,20070721,1,14,00006680,1, ,230.000000000000000,228.9830017,5200.592906720000400,926659.874870000060000
,2007,CA,TCU,00000652,GOLDEN,CDF,20070816,20070817,1,10,00007615,1,main fire,66.000000000000000,65.6298981,2846.944461290000200,265594.720664000020000
,2007,CA,TCU,00000651,ORVIS,CDF,20070816,20070816,1,10,00007609,1, ,540.000000000000000,534.9829712,13654.360195300000000,2165000.080889999900000
,2007,CA,TCU,00000666,ITALIAN,CDF,20070822,20070828,1,14,00007830,1,20090305,102.000000000000000,102.2799988,3003.509261990000100,413913.532708999990000
,2007,CA,TCU,00000746,SHELLEY,CDF,20070915,20070915,6,2,00008668,1,"total swag perimeter, drawn 5 months later, Feb '08",104.000000000000000,103.7549973,2773.240862040000100,419879.817724000020000
,2007,CA,TUU,00000000,HORSE,CDF,20070528,20070530,1,7,00057010,1, ,410.000000000000000,434.7890015,6368.121067590000200,1759528.750749999900000
,2007,CA,TUU,00000000,SHANNON,CDF,20070603,20070604,2,2,00059400,1, ,2140.000000000000000,2141.0000000,18073.252509300000000,8664316.719079999300000
,2007,CA,SNF,00000052,SOURCE,USF,20070826,20070828,7,1,00000052,1, ,12.000000000000000,12.5742998,947.876486913000010,50886.513656800002000
,2007,CA,SNF,00000006,TRIMMER,USF,20070525,20070526,6,9,00000006,1, ,186.000000000000000,193.5110016,4439.743663109999900,783111.084411000020000
,2007,CA,SQF,00000041,VISTA,USF,20070822,20070824,1,4,00000041,1, ,200.000000000000000,420.3179932,7220.184763150000400,1700966.037620000100000
,2007,CA,ENF,00000046,CLOVER 2,USF,20070828,20070926,1,1,00000046,2, ,30.000000000000000,20.1611996,1659.492521169999900,81589.432041599997000
,2007,CA,SNF,00000051,ROCK,USF,20070826,20070901,1,1,00000051,1, ,96.000000000000000,85.7310028,3322.738606869999800,346940.990201000010000
,2007,CA,STF,00000075,INGALLS,USF,20071021,20071023,6,5, ,1,20090305,15.000000000000000,18.2458992,1195.685895489999900,73838.691400800002000
,2007,CA,STF,00000032,BUMMER,USF,20070724,20070725,1,1, ,1,20090305,50.000000000000000,60.4099007,4008.856300980000000,244470.275777000000000
,2007,CA,STF,00000044,DOME2,USF,20070810,20070810,6,2, ,1,20090305,120.000000000000000,137.6329956,3013.085869710000200,556982.698757000030000
,2007,CA,STF,00000043,NIAGARA,USF,20070809,20070809,1,4, ,1,20090305,161.000000000000000,161.3849945,6541.828267830000200,653103.057119000000000
,2007,CA,STF,00000078,JUPITER,USF,20071028,20071102,6,5, ,1,20090305,13.000000000000000,13.4020996,1366.446059100000000,54236.506084000001000
,2005,CA,BBD,00001725,FLUME,BLM,20050703,20050703,1,8,00001725,1, ,12.000000000000000,10.1752996,947.008029074999970,41178.129204600002000
,2005,CA,BBD,00002083,SIXTH,BLM,20050712,20050712,1,14,00002083,1, ,74.000000000000000,73.5334015,3138.351842019999800,297579.081973999970000
,2005,CA,BBD,00002621,AERA,BLM,20050816,20050816,6,11,00002621,1, ,12.000000000000000,10.1814003,920.626936369999950,41202.754596999999000
,2005,CA,BBD,00002712,EAGLE,BLM,20050823,20050824,1,1,00002712,1, ,70.000000000000000,69.6504974,3625.273116320000100,281865.522275000000000
,2005,CA,BBD,00002761,WELLS,BLM,20050827,20050828,2,1,00002761,1, ,120.000000000000000,120.2060013,3294.732289070000200,486457.784120999980000
,2005,CA,BBD,0000B31Y,PENO BLANC,BLM,20050807,20050807,6,2,0000B31Y,1, ,50.000000000000000,49.6487999,2594.332069659999900,200921.702055000000000
,2005,CA,BBD,0000B6M9,CARSON,BLM,20050910,20050910,6,2,0000B6M9,1, ,12.000000000000000,12.1392002,978.933396119000010,49125.777875000000000
,2005,CA,BBD,0000BWC2,PENN,BLM,20050625,20050625,6,11,0000BWC2,1, ,60.000000000000000,60.7711983,1833.823992400000000,245932.460281000010000
,2005,CA,BBD,0000BXY8,MARSHES,BLM,20050701,20050701,1,11,0000BXY8,1, ,21.000000000000000,76.2978973,3140.873061410000000,308766.629751999980000
,2005,CA,BBD,00162386,GOLDEN,BLM,20050805,20050805,2,2,00162386,1, ,74.799999999999997,74.7608032,2276.519823799999800,302546.213401000020000
,2005,CA,FKU,00005337,APRICOT,CDF,20050517,20050518,1,4,00005337,1, ,600.000000000000000,667.1229858,7395.087753730000300,2699749.703180000200000
